Rating,Title,Description,Cleaned_Description
5.0,Super!,"Cash on delivery purchase, combo product working properly. hope it is durable.READ MORE","cash delivery purchase, combo product working properly. hope durable"
5.0,Super!,Zebronics always passes the acid test. well-doneREAD MORE,zebronics always pass acid test. welldone
5.0,Perfect product!,Nice product received today!!!!! After usage will again post review on battery status and other things ❤️❤️READ MORE,nice product received today!!!!! usage post review battery status thing
5.0,Brilliant,Nice product thanks fliocartREAD MORE,nice product thanks fliocart
5.0,Fabulous!,"Fabulous quality , Best Built under 850, 0 Noise, Lavish Feel under the low budgetREAD MORE","fabulous quality , best built 850, 0 noise, lavish feel low budget"
5.0,Fabulous!,Superb ☺️READ MORE,superb
5.0,Wonderful,This keyboard is very good and value for money. I really liked itREAD MORE,keyboard good value money. really liked
5.0,Super!,Very premium quality. Highly recommended for this price range this is a best deal. Awesome build and design.READ MORE,premium quality. highly recommended price range best deal. awesome build design
5.0,Just wow!,Best Loved itREAD MORE,best loved
5.0,Terrific,"Outstanding Material,It's really good at this price. the mouse quality is also nice.I recommend you to buy this. Listen,there is only one usb portal that connects both keyboard and mouse.Thank you.READ MORE","outstanding material,its really good price. mouse quality also nice.i recommend buy this. listen,there one usb portal connects keyboard mouse.thank"
5.0,Terrific purchase,The  product was to good  now typing with  zebronics  key boardREAD MORE,product good typing zebronics key board
5.0,Fabulous!,So good at this cost price👍👍👍READ MORE,good cost price
5.0,Awesome,NiceREAD MORE,nice
5.0,Terrific,"Zero noise,high quality,The mouse is so comfortable to useREAD MORE","zero noise,high quality,the mouse comfortable use"
5.0,Perfect product!,nice product 😀READ MORE,nice product
5.0,Simply awesome,Very niceREAD MORE,nice
5.0,Great product,Good product... colour is good ...good for money as compared to companyREAD MORE,good product... colour good ...good money compared company
5.0,Just wow!,Very soft key and we'll built product now let's see how long it lasts 🙂READ MORE,soft key well built product let see long last
4.0,Nice product,Before buying this product I have done a lot of research and finally found this.It is really great product. Keys are very smooth and mouse clicks are silent.keypads grip is good and extra function key(like calculator key)is also working properly.Hardware quality is also good.Overall both keyboard and mouse are very good.go for it no second thoughts.READ MORE,buying product done lot research finally found this.it really great product. key smooth mouse click silent.keypads grip good extra function keylike calculator keyis also working properly.hardware quality also good.overall keyboard mouse good.go second thought
4.0,Good choice,very good quality 🤩READ MORE,good quality
5.0,Worth every penny,GoodREAD MORE,good
5.0,Awesome,GoodREAD MORE,good
5.0,Worth every penny,Nice productREAD MORE,nice product
5.0,Excellent,So useful there no sound of key board it's soundless so smooth keyboardREAD MORE,useful sound key board soundless smooth keyboard
5.0,Must buy!,Good product and good qualityREAD MORE,good product good quality
4.0,Value-for-money,Very goodREAD MORE,good
5.0,Highly recommended,GoodREAD MORE,good
5.0,Must buy!,Very cool looking and mast combo 😊READ MORE,cool looking mast combo
3.0,Good,GoodREAD MORE,good
4.0,Pretty good,Very good quality product under this price range.READ MORE,good quality product price range
5.0,Wonderful,GoodREAD MORE,good
5.0,Simply awesome,Good 👍🏻READ MORE,good
4.0,Value-for-money,Best in this priceREAD MORE,best price
5.0,Must buy!,Very niceREAD MORE,nice
5.0,Fabulous!,Best product for this priceREAD MORE,best product price
4.0,Wonderful,Good productREAD MORE,good product
4.0,Delightful,"Key is perfect as built is decent, light weight and key is smooth.Mouse is accurate and silent but it is too smallREAD MORE","key perfect built decent, light weight key smooth.mouse accurate silent small"
5.0,Fabulous!,I am super satisfied with the product thank youREAD MORE,super satisfied product thank
5.0,Worth every penny,Very goodREAD MORE,good
5.0,Brilliant,keyboard key button working very niceREAD MORE,keyboard key button working nice
4.0,Pretty good,Nice productREAD MORE,nice product
5.0,Perfect product!,Good connectivity and smooth silent keys. I like it.READ MORE,good connectivity smooth silent keys. like
5.0,Terrific purchase,This product is too good.most important thing is that when we click mouse didi not make noiseREAD MORE,product good.most important thing click mouse didi make noise
4.0,Delightful,GreatREAD MORE,great
3.0,Delightful,NiceREAD MORE,nice
4.0,Pretty good,"Smooth, compatible with mobile phone using otg connector, rupee key works well, overall good for this price Rs.733.READ MORE","smooth, compatible mobile phone using otg connector, rupee key work well, overall good price rs.733"
5.0,Mind-blowing purchase,Quality is nice.The mouse and keyboard operate silently.Overall worth purchaseREAD MORE,quality nice.the mouse keyboard operate silently.overall worth purchase
4.0,Worth the money,ExcellentREAD MORE,excellent
5.0,Must buy!,Simply superb product.Value for money and good working.Lowest cost.READ MORE,simply superb product.value money good working.lowest cost
5.0,Best in the market!,Day 1 review. Awesome product friends. Recommended everyone. White looks decent. Functioning very smoothly. Instant connectivity. Neatly packaged from Flipkart. Thanks to Flipkart..READ MORE,day 1 review. awesome product friends. recommended everyone. white look decent. functioning smoothly. instant connectivity. neatly packaged flipkart. thanks flipkart
5.0,Worth every penny,Amazing and awesome keyboard and mouse thanks Flipkart and ZebronicsREAD MORE,amazing awesome keyboard mouse thanks flipkart zebronics
4.0,Good choice,Very silent keyboard and mouseREAD MORE,silent keyboard mouse
3.0,Fair,Wost productREAD MORE,wost product
3.0,Fair,Mouse works fine but the KB is slower sometimes irritates..READ MORE,mouse work fine kb slower sometimes irritates
5.0,Brilliant,Product is very good in design and working well.READ MORE,product good design working well
5.0,Fabulous!,Very GoodREAD MORE,good
4.0,Good quality product,NiceREAD MORE,nice
4.0,Delightful,Very good product at thisREAD MORE,good product
4.0,Nice product,Great product.. Working fine with my Redmi pad pro tablet..value for moneyREAD MORE,great product.. working fine redmi pad pro tablet..value money
4.0,Nice product,"Works smoothly, I have only one request if lights in a  keyboard then it's much more attractiveREAD MORE","work smoothly, one request light keyboard much attractive"
5.0,Super!,Great product provided by zebronicsREAD MORE,great product provided zebronics
5.0,Wonderful,Good productREAD MORE,good product
4.0,Delightful,Good productREAD MORE,good product
5.0,Best in the market!,Loved the overall product.READ MORE,loved overall product
4.0,Nice product,Best productREAD MORE,best product
4.0,Wonderful,Typing feels good and mouse click is silent.READ MORE,typing feel good mouse click silent
